model_name,avg_word_length,avg_sentence_length,syntactic_complexity,flesch_reading_ease,flesch_kincaid_grade,smog_index,gunning_fog,type_token_ratio,embedding_diversity,bigram_diversity,reasoning_keyword_ratio,average_reasoning_steps,inference_complexity_score,context_recall,faithfulness,factual_correctness(mode=f1)
meta-llama/llama-3.2-3b-instruct,5.251039006706086,35.65190476190477,1.0,28.577447504527218,16.338974899393666,16.982968136729085,19.67063555564371,0.6486257504482488,0.46233343634231333,0.9068107756269836,0.003319204940995508,0.13333333333333333,7.301329365079365,0.7722222222222223,0.8128524837735365,0.36
deepseek/deepseek-chat-v3.1,5.317754029975559,27.652361712361706,1.0,33.247514958936684,14.310423157150325,15.58585212125188,17.359261472177913,0.6283733683409747,0.6285440977441614,0.9002124787660698,0.006590161666469104,0.36666666666666664,6.0647968697968695,0.7555555555555556,0.9437764550264551,0.46966666666666673
google/gemini-2.5-flash-lite,5.3911689678129155,25.663803828538434,1.0,32.41166223380412,14.411774632876787,15.518688986700678,17.330094325275365,0.6889362165930186,0.6039980401589311,0.9292943676832287,0.006700241002054258,0.5666666666666667,5.610887823076513,0.7833333333333333,0.9682631257631257,0.4446666666666667
google/gemini-2.5-flash,5.4399523293681495,26.63945217063638,1.0,30.127894806554725,14.891202922803405,15.907583209090888,17.85152350853808,0.6737301790027511,0.5793479579655286,0.9235738338508538,0.005698200729648079,0.36666666666666664,5.834611470400945,0.7388888888888889,0.9707797270955165,0.487
google/gemma-3-27b-it,5.379409515524403,31.54848835868019,0.9958333333333333,30.242544648849844,14.808206287212546,15.695626620051314,17.868633237585538,0.6155634482814221,0.5753365465030723,0.8736777716614978,0.004672122065366501,0.36666666666666664,6.320315503390998,0.7666666666666668,0.8426097229342665,0.434
mistralai/mistral-nemo,5.3544002274243265,29.599210326710324,1.0,33.97023894484207,13.984152676642319,15.366966388400652,16.863919987833718,0.5901238889882665,0.6045744587313268,0.873408744948465,0.003926036680913999,0.3,6.294298571798572,0.7666666666666668,0.8541136261685798,0.42500000000000004
